oid_evbc_b64,total_assessed_value,total_assessed_building,total_assessed_land,previous_total,previous_land,previous_building,year_built,address,geometry,bedrooms,bathrooms,carport,garage,storeys,sales_history,zoning,pid
QTAwMDBNMVY3Wg==,35800,35800,0,38100,0,38100,1974,4-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4MQ==,94600,94600,0,83500,0,83500,1996,5-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4Mg==,30100,30100,0,32300,0,32300,1970,6-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4Mw==,31200,31200,0,33500,0,33500,1970,7-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4NQ==,82400,82400,0,76800,0,76800,1994,8-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4Nw==,41000,41000,0,39500,0,39500,1976,9-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4OA==,37900,37900,0,40300,0,40300,1972,10-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4OQ==,48300,48300,0,50100,0,50100,1975,11-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,"[{""date"": ""2016-09-30"", ""price"": 44900}]",,
QTAwMDBNMVY4QQ==,52600,52600,0,56200,0,56200,1974,12-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,"[{""date"": ""2015-10-02"", ""price"": 46000}]",,
RDAwMDBDVzZCTA==,76400,76400,0,71300,0,71300,1992,13-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4Qw==,76400,76400,0,71300,0,71300,1980,14-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4RA==,65400,65400,0,61500,0,61500,1980,15-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4RQ==,40700,40700,0,43200,0,43200,1975,16-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
RDAwMDBINE1GOA==,114000,114000,0,105000,0,105000,2012,17-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4Rw==,39300,39300,0,41900,0,41900,1973,18-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4SA==,33900,33900,0,36100,0,36100,1973,19-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4Sg==,48700,48700,0,52200,0,52200,1974,20-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4Sw==,38500,38500,0,41000,0,41000,1973,21-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4TA==,27700,27700,0,29600,0,29600,1972,22-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4TQ==,28700,28700,0,30800,0,30800,1971,23-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4Tg==,47200,47200,0,45100,0,45100,1979,24-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4UA==,43900,43900,0,46500,0,46500,1969,25-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,"[{""date"": ""2014-10-31"", ""price"": 55000}]",,
QTAwMDBNMVY4UQ==,39300,39300,0,41800,0,41800,1974,26-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
QTAwMDBNMVY4Ug==,37200,37200,0,39700,0,39700,1973,27-4625 GRAHAM AVE,"[[-1431485453, 726564113], [-1431486323, 726563393], [-1431484545, 726648851], [-1431484401, 726655738], [-1431475761, 726655554], [-1431467120, 726655370], [-1431468695, 726579787], [-1431468792, 726579721], [-1431468971, 726579598], [-1431470129, 726578441], [-1431470825, 726577809], [-1431471816, 726576885], [-1431472488, 726576346], [-1431473225, 726575726], [-1431474094, 726574985], [-1431475015, 726574226], [-1431475709, 726573636], [-1431476424, 726573078], [-1431477077, 726572475], [-1431477499, 726572057], [-1431477983, 726571579], [-1431478693, 726570874], [-1431479369, 726570220], [-1431480045, 726569576], [-1431480764, 726568892], [-1431481486, 726568146], [-1431482182, 726567503], [-1431483072, 726566511], [-1431483786, 726565701], [-1431484593, 726564906], [-1431485453, 726564113]]",,,0,0,,[],,
